32;3456;datetime.datetime(2020, 10, 28, 17, 54, 48);datetime.timedelta(seconds=10940);datetime.timedelta(seconds=30715);datetime.timedelta(seconds=41655);'closed'
33;3455;datetime.datetime(2020, 10, 28, 17, 32, 34);datetime.timedelta(seconds=29687);datetime.timedelta(seconds=866);datetime.timedelta(seconds=30553);'closed'
34;3454;datetime.datetime(2020, 10, 28, 16, 1, 45);datetime.timedelta(seconds=689);datetime.timedelta(seconds=2309);datetime.timedelta(seconds=2998);'closed'
35;3453;datetime.datetime(2020, 10, 28, 15, 29, 34);datetime.timedelta(seconds=2659);datetime.timedelta(seconds=5224);datetime.timedelta(seconds=7883);'closed'
36;3451;datetime.datetime(2020, 10, 28, 6, 36, 52);datetime.timedelta(seconds=33950);datetime.timedelta(seconds=4236);datetime.timedelta(seconds=38186);'closed'
37;3450;datetime.datetime(2020, 10, 28, 6, 4, 14);datetime.timedelta(seconds=64910);datetime.timedelta(seconds=6060);datetime.timedelta(seconds=70970);'closed'
38;3449;datetime.datetime(2020, 10, 28, 5, 31, 53);datetime.timedelta(seconds=48066);datetime.timedelta(seconds=8030);datetime.timedelta(seconds=56096);'closed'
39;3448;datetime.datetime(2020, 10, 28, 5, 18, 38);datetime.timedelta(seconds=40539);datetime.timedelta(seconds=165);datetime.timedelta(seconds=40704);'closed'
40;3446;datetime.datetime(2020, 10, 28, 0, 34, 29);datetime.timedelta(seconds=57693);datetime.timedelta(seconds=5129);datetime.timedelta(seconds=62822);'closed'
41;3445;datetime.datetime(2020, 10, 27, 18, 48, 42);datetime.timedelta(seconds=81327);datetime.timedelta(days=7, seconds=15545);datetime.timedelta(days=8, seconds=10472);'closed'
42;3443;datetime.datetime(2020, 10, 26, 23, 48, 50);datetime.timedelta(seconds=59224);datetime.timedelta(seconds=9328);datetime.timedelta(seconds=68552);'closed'
43;3442;datetime.datetime(2020, 10, 24, 0, 9, 9);datetime.timedelta(days=4, seconds=8544);datetime.timedelta(seconds=53866);datetime.timedelta(days=4, seconds=62410);'closed'
44;3440;datetime.datetime(2020, 10, 23, 7, 11, 57);datetime.timedelta(seconds=30453);datetime.timedelta(seconds=29355);datetime.timedelta(seconds=59808);'closed'
45;3439;datetime.datetime(2020, 10, 22, 21, 33, 59);datetime.timedelta(seconds=74201);datetime.timedelta(days=4, seconds=15286);datetime.timedelta(days=5, seconds=3087);'closed'
46;3437;datetime.datetime(2020, 10, 21, 21, 48, 11);datetime.timedelta(seconds=826);datetime.timedelta(seconds=1759);datetime.timedelta(seconds=2585);'closed'
47;3436;datetime.datetime(2020, 10, 21, 20, 43, 40);datetime.timedelta(seconds=1829);datetime.timedelta(seconds=16544);datetime.timedelta(seconds=18373);'closed'
48;3435;datetime.datetime(2020, 10, 21, 19, 7, 26);datetime.timedelta(seconds=2549);datetime.timedelta(seconds=2892);datetime.timedelta(seconds=5441);'closed'
49;3434;datetime.datetime(2020, 10, 21, 17, 56, 25);datetime.timedelta(seconds=15713);datetime.timedelta(seconds=13451);datetime.timedelta(seconds=29164);'closed'
50;3433;datetime.datetime(2020, 10, 21, 17, 55, 8);datetime.timedelta(days=20, seconds=4679, microseconds=368082);None;datetime.timedelta(days=20, seconds=4679, microseconds=368091);'open'
51;3432;datetime.datetime(2020, 10, 21, 15, 3, 16);datetime.timedelta(seconds=9259);datetime.timedelta(seconds=8008);datetime.timedelta(seconds=17267);'closed'
52;3431;datetime.datetime(2020, 10, 21, 2, 51, 7);datetime.timedelta(seconds=47189);datetime.timedelta(days=1, seconds=11267);datetime.timedelta(days=1, seconds=58456);'closed'
53;3430;datetime.datetime(2020, 10, 20, 23, 30, 56);datetime.timedelta(seconds=1219);datetime.timedelta(seconds=7848);datetime.timedelta(seconds=9067);'closed'
54;3428;datetime.datetime(2020, 10, 20, 21, 45, 5);datetime.timedelta(days=21, seconds=15532);datetime.timedelta(days=-1, seconds=61756, microseconds=480731);datetime.timedelta(days=20, seconds=77288, microseconds=480741);'open'
