29;(3255, datetime.datetime(2020, 8, 20, 22, 26, 3), datetime.timedelta(days=5, seconds=27769), datetime.timedelta(days=13, seconds=51512, microseconds=184547), datetime.timedelta(days=18, seconds=79281, microseconds=184556), 'open')
30;(3254, datetime.datetime(2020, 8, 20, 21, 12, 55), datetime.timedelta(seconds=3746), datetime.timedelta(seconds=593), datetime.timedelta(seconds=4339), 'closed')
31;(3252, datetime.datetime(2020, 8, 20, 1, 26, 42), datetime.timedelta(seconds=1670), datetime.timedelta(seconds=195), datetime.timedelta(seconds=1865), 'closed')
32;(3251, datetime.datetime(2020, 8, 20, 1, 19, 40), datetime.timedelta(days=4, seconds=65070), datetime.timedelta(seconds=1074), datetime.timedelta(days=4, seconds=66144), 'closed')
33;(3249, datetime.datetime(2020, 8, 19, 19, 17, 39), datetime.timedelta(days=5, seconds=14273), datetime.timedelta(days=1, seconds=60399), datetime.timedelta(days=6, seconds=74672), 'closed')
34;(3247, datetime.datetime(2020, 8, 19, 16, 32, 33), datetime.timedelta(seconds=2536), datetime.timedelta(seconds=1009), datetime.timedelta(seconds=3545), 'closed')
35;(3236, datetime.datetime(2020, 8, 19, 4, 35, 25), datetime.timedelta(seconds=45577), datetime.timedelta(seconds=9747), datetime.timedelta(seconds=55324), 'closed')
36;(3227, datetime.datetime(2020, 8, 18, 23, 19, 50), datetime.timedelta(seconds=3562), datetime.timedelta(days=1, seconds=815), datetime.timedelta(days=1, seconds=4377), 'closed')
37;(3226, datetime.datetime(2020, 8, 18, 21, 44, 43), datetime.timedelta(days=13, seconds=75218), datetime.timedelta(days=7, seconds=6553, microseconds=763406), datetime.timedelta(days=20, seconds=81771, microseconds=763414), 'open')
38;(3225, datetime.datetime(2020, 8, 18, 21, 0, 4), datetime.timedelta(seconds=67138), datetime.timedelta(seconds=5329), datetime.timedelta(seconds=72467), 'closed')
39;(3223, datetime.datetime(2020, 8, 17, 22, 35, 11), datetime.timedelta(seconds=64515), datetime.timedelta(seconds=36), datetime.timedelta(seconds=64551), 'closed')
40;(3222, datetime.datetime(2020, 8, 17, 13, 27, 11), datetime.timedelta(seconds=30954), datetime.timedelta(days=3, seconds=73890), datetime.timedelta(days=4, seconds=18444), 'closed')
41;(3221, datetime.datetime(2020, 8, 15, 18, 18, 35), datetime.timedelta(seconds=10670), datetime.timedelta(days=2, seconds=79578), datetime.timedelta(days=3, seconds=3848), 'closed')
42;(3218, datetime.datetime(2020, 8, 14, 20, 52, 30), datetime.timedelta(days=4, seconds=83708), datetime.timedelta(seconds=1178), datetime.timedelta(days=4, seconds=84886), 'closed')
43;(3217, datetime.datetime(2020, 8, 14, 9, 21, 10), datetime.timedelta(seconds=12025), datetime.timedelta(seconds=27), datetime.timedelta(seconds=12052), 'closed')
44;(3216, datetime.datetime(2020, 8, 14, 1, 27, 44), datetime.timedelta(seconds=16398), datetime.timedelta(seconds=46622), datetime.timedelta(seconds=63020), 'closed')
45;(3215, datetime.datetime(2020, 8, 14, 1, 16, 37), datetime.timedelta(seconds=575), datetime.timedelta(seconds=3097), datetime.timedelta(seconds=3672), 'closed')
46;(3214, datetime.datetime(2020, 8, 14, 0, 38, 59), datetime.timedelta(seconds=90), datetime.timedelta(days=25, seconds=71236, microseconds=633514), datetime.timedelta(days=25, seconds=71326, microseconds=633524), 'open')
47;(3212, datetime.datetime(2020, 8, 13, 23, 3, 56), datetime.timedelta(seconds=379), datetime.timedelta(seconds=7676), datetime.timedelta(seconds=8055), 'closed')
48;(3211, datetime.datetime(2020, 8, 13, 16, 1, 37), datetime.timedelta(seconds=10301), datetime.timedelta(seconds=208), datetime.timedelta(seconds=10509), 'closed')
49;(3209, datetime.datetime(2020, 8, 12, 20, 25, 53), datetime.timedelta(days=27, seconds=115, microseconds=624205), None, datetime.timedelta(seconds=10330), 'closed')
50;(3207, datetime.datetime(2020, 8, 12, 16, 12, 8), datetime.timedelta(seconds=1464), datetime.timedelta(seconds=13003), datetime.timedelta(seconds=14467), 'closed')
51;(3206, datetime.datetime(2020, 8, 12, 15, 55, 20), datetime.timedelta(seconds=1910), datetime.timedelta(seconds=6798), datetime.timedelta(seconds=8708), 'closed')
52;(3205, datetime.datetime(2020, 8, 11, 23, 1, 9), datetime.timedelta(seconds=2183), datetime.timedelta(seconds=24), datetime.timedelta(seconds=2207), 'closed')
53;(3204, datetime.datetime(2020, 8, 11, 17, 28, 33), datetime.timedelta(seconds=5399), datetime.timedelta(seconds=18842), datetime.timedelta(seconds=24241), 'closed')
54;(3203, datetime.datetime(2020, 8, 10, 23, 42, 20), datetime.timedelta(days=8, seconds=4104), datetime.timedelta(days=20, seconds=70630, microseconds=943581), datetime.timedelta(days=28, seconds=74734, microseconds=943590), 'open')
55;(3201, datetime.datetime(2020, 8, 10, 17, 54, 51), datetime.timedelta(seconds=2022), datetime.timedelta(seconds=608), datetime.timedelta(seconds=2630), 'closed')
56;(3199, datetime.datetime(2020, 8, 10, 16, 39, 37), datetime.timedelta(seconds=2768), datetime.timedelta(seconds=5554), datetime.timedelta(seconds=8322), 'closed')
57;(3198, datetime.datetime(2020, 8, 8, 20, 43, 47), datetime.timedelta(days=30, seconds=85450, microseconds=644274), None, datetime.timedelta(days=30, seconds=85450, microseconds=644285), 'open')
58;(3197, datetime.datetime(2020, 8, 6, 21, 22, 16), datetime.timedelta(seconds=6278), datetime.timedelta(seconds=383), datetime.timedelta(seconds=6661), 'closed')
59;(3195, datetime.datetime(2020, 8, 6, 0, 45, 34), datetime.timedelta(seconds=705), datetime.timedelta(days=4, seconds=70931), datetime.timedelta(days=4, seconds=71636), 'closed')
60;(3193, datetime.datetime(2020, 8, 5, 14, 45, 16), datetime.timedelta(days=2, seconds=7611), datetime.timedelta(seconds=16), datetime.timedelta(days=2, seconds=7627), 'closed')
61;(3191, datetime.datetime(2020, 8, 4, 20, 15, 55), datetime.timedelta(seconds=2596), datetime.timedelta(seconds=147), datetime.timedelta(seconds=2743), 'closed')
62;(3187, datetime.datetime(2020, 8, 3, 12, 54, 42), datetime.timedelta(days=7, seconds=21214), datetime.timedelta(days=14, seconds=67794), datetime.timedelta(days=22, seconds=2608), 'closed')
63;(3186, datetime.datetime(2020, 8, 2, 14, 10, 29), datetime.timedelta(days=1, seconds=9426), datetime.timedelta(days=7, seconds=85210), datetime.timedelta(days=9, seconds=8236), 'closed')
64;(3181, datetime.datetime(2020, 7, 29, 17, 6, 38), datetime.timedelta(days=2, seconds=10512), datetime.timedelta(seconds=1592), datetime.timedelta(days=2, seconds=12104), 'closed')
65;(3180, datetime.datetime(2020, 7, 29, 16, 19, 48), datetime.timedelta(seconds=3946), datetime.timedelta(seconds=19), datetime.timedelta(seconds=3965), 'closed')
66;(3179, datetime.datetime(2020, 7, 28, 23, 36, 9), datetime.timedelta(seconds=1424), datetime.timedelta(seconds=16), datetime.timedelta(seconds=1440), 'closed')
67;(3177, datetime.datetime(2020, 7, 24, 17, 7, 59), datetime.timedelta(seconds=37914), datetime.timedelta(seconds=54037), datetime.timedelta(days=1, seconds=5551), 'closed')
68;(3176, datetime.datetime(2020, 7, 24, 6, 49, 21), datetime.timedelta(seconds=34933), datetime.timedelta(seconds=8), datetime.timedelta(seconds=34941), 'closed')
69;(3174, datetime.datetime(2020, 7, 23, 23, 2, 4), datetime.timedelta(seconds=539), datetime.timedelta(seconds=3126), datetime.timedelta(seconds=3665), 'closed')
70;(3173, datetime.datetime(2020, 7, 23, 21, 40, 38), datetime.timedelta(days=46, seconds=82055, microseconds=943191), None, datetime.timedelta(seconds=741), 'closed')
